RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,3,3,4,,5.00E+00,3,3,4.00E+00,,,,,,,,,,
,,9,8,6,,8.00E+00,5,6,8.00E+00,,,,,,,,,,
,,8,3,5,,4.00E+00,2,5,5.00E+00,,,,,,,,,,
,,7,7,4,,1.10E+01,9,6,3.00E+00,,,,,,,,,,
,,6,4,9,,7.00E+00,5,6,7.00E+00,,,,,,,,,,
,,6,4,6,,5.00E+00,5,5,6.00E+00,,,,,,,,,,
,,7,3,5,,6.00E+00,3,2,5.00E+00,,,,,,,,,,
,,8,7,5,,7.00E+00,5,4,5.00E+00,,,,,,,,,,
,,5,7,5,,8.00E+00,3,3,3.00E+00,,,,,,,,,,
,,5,5,4,,4.00E+00,5,3,3.00E+00,,,,,,,,,,
,,6,4,7,,8.00E+00,4,4,6.00E+00,,,,,,,,,,
,,8,5,6,,8.00E+00,6,4,6.00E+00,,,,,,,,,,
,,6,4,4,,5.00E+00,6,6,5.00E+00,,,,,,,,,,
,,5,4,7,,5.00E+00,3,4,4.00E+00,,,,,,,,,,
,,5,5,5,,4.00E+00,4,4,6.00E+00,,,,,,,,,,
,,5,5,7,,6.00E+00,5,5,3.00E+00,,,,,,,,,,
,,8,3,6,,7.00E+00,5,4,5.00E+00,,,,,,,,,,
,,5,3,6,,5.00E+00,2,5,3.00E+00,,,,,,,,,,
,,4,4,6,,8.00E+00,6,4,9.00E+00,,,,,,,,,,
